"customer_id","geographic_location","loyalty_card","email_news","fav_category","gender","income_level"
60,"C",0,1,"N","F",1
215,"A",0,0,"O","M",1
255,"A",0,0,"M","M",2
289,"G",0,0,"P","F",3
326,"E",0,1,"P","F",2
349,"F",1,0,"O","F",2
370,"G",0,1,"M","F",2
593,"D",0,0,"L","F",2
766,"A",0,0,"L","M",3
847,"F",0,1,"N","F",1
897,"G",0,0,"N","F",2
946,"H",0,0,"M","M",3
948,"G",0,0,"P","M",2
1042,"I",0,0,"N","F",1
1250,"E",0,0,"L","F",1
1288,"B",0,0,"M","M",2
1302,"J",0,0,"P","M",1
1354,"A",0,0,"O","F",2
1380,"E",0,0,"O","F",2
1468,"F",0,1,"P","F",1
1470,"F",1,0,"N","F",2
1501,"J",0,0,"N","F",1
1543,"G",0,0,"O","M",2
1643,"A",0,0,"P","M",2
1657,"H",0,0,"Q","F",2
1664,"B",0,0,"L","M",2
1683,"B",0,1,"Q","M",1
1714,"I",0,0,"N","F",1
1753,"E",0,0,"L","F",2
1778,"J",1,1,"N","M",1
1880,"B",0,0,"Q","M",2
1909,"G",0,1,"O","M",1
2011,"J",0,0,"Q","M",2
2031,"C",0,0,"N","F",1
2129,"E",0,1,"N","F",1
2175,"H",0,0,"L","F",3
2208,"F",0,1,"M","M",1
2257,"E",0,1,"N","F",3
2336,"C",0,0,"M","M",2
2383,"G",1,1,"N","M",3
2397,"H",0,1,"M","M",3
2412,"C",0,1,"N","F",2
2420,"D",0,0,"P","F",2
2525,"G",0,1,"N","F",2
2560,"C",1,0,"O","F",2
2617,"H",0,0,"P","M",2
2638,"C",0,0,"L","F",2
2672,"C",0,0,"M","M",2
2692,"B",0,0,"N","M",2
2698,"C",0,1,"P","F",3
2714,"I",0,0,"L","M",2
2732,"E",0,0,"M","M",3
2733,"G",0,0,"O","M",2
2816,"B",1,1,"P","M",2
2939,"E",0,0,"Q","M",1
3020,"F",0,0,"M","F",3
3058,"H",0,0,"L","F",1
3085,"C",0,1,"Q","F",2
3090,"E",0,0,"Q","F",1
3104,"J",0,0,"P","F",2
3167,"C",1,0,"L","F",3
3185,"G",0,1,"Q","F",1
3202,"J",0,0,"O","F",3
3260,"I",1,1,"M","F",3
3271,"H",0,0,"M","F",3
3300,"C",0,1,"M","M",3
3350,"F",0,0,"O","M",2
3384,"I",1,0,"O","F",3
3454,"J",0,0,"Q","M",1
3532,"D",0,0,"L","M",1
3539,"B",0,0,"O","F",2
3677,"F",0,0,"Q","F",1
3718,"C",0,0,"L","F",2
3751,"E",1,0,"Q","M",1
3772,"C",0,0,"P","F",3
3798,"F",0,1,"L","M",1
3911,"D",0,0,"L","F",3
3988,"B",0,0,"P","M",1
4013,"B",0,1,"L","M",3
4034,"F",0,1,"Q","M",2
4091,"J",0,0,"L","M",1
4149,"F",0,0,"N","F",1
4155,"B",0,0,"O","F",2
4169,"A",0,0,"P","M",3
4304,"H",0,1,"Q","F",2
4411,"B",0,1,"Q","M",3
4423,"G",0,0,"M","M",1
4539,"G",0,0,"M","F",3
4569,"C",0,0,"O","M",2
4645,"C",0,0,"N","F",3
4687,"D",0,0,"Q","M",3
4758,"C",0,0,"O","M",3
4839,"B",0,0,"M","M",1
4859,"H",0,0,"P","F",3
4861,"I",0,1,"P","F",3
4887,"H",1,0,"L","F",3
5049,"D",0,0,"N","F",3
5094,"H",0,0,"L","F",2
5119,"B",0,0,"L","M",3
5191,"G",0,1,"L","M",1
5200,"F",0,0,"M","M",1
5214,"I",0,1,"O","F",3
5252,"C",0,1,"M","M",3
5253,"C",0,0,"L","M",2
5311,"G",0,0,"P","F",3
5353,"H",0,0,"O","M",3
5366,"J",0,1,"M","F",3
5499,"D",0,1,"Q","F",3
5504,"J",0,0,"Q","M",3
5551,"J",0,1,"O","F",3
5646,"G",1,0,"O","F",3
5652,"E",0,0,"N","M",2
5663,"J",0,0,"N","F",3
5706,"F",0,0,"M","M",1
5746,"D",0,0,"Q","M",3
5766,"B",0,0,"M","M",1
5772,"E",0,1,"P","F",1
5828,"B",1,0,"Q","F",3
5831,"B",0,0,"O","M",2
5882,"C",0,0,"O","M",3
5992,"D",0,0,"P","M",1
6018,"I",0,1,"M","F",2
6031,"B",0,1,"L","M",2
6086,"E",0,0,"N","F",1
6094,"C",0,0,"M","M",3
6136,"E",0,0,"L","M",1
6151,"A",0,0,"L","F",1
6156,"B",0,0,"Q","M",1
6251,"G",0,1,"L","F",3
6257,"C",0,1,"L","F",3
6546,"C",0,0,"L","F",3
6610,"A",0,0,"M","F",2
6636,"C",0,0,"Q","M",3
6659,"B",0,1,"P","F",3
6681,"J",0,0,"M","F",1
6731,"A",1,0,"L","M",2
6761,"G",0,0,"P","M",2
6768,"F",0,0,"M","F",3
6777,"I",0,0,"Q","M",3
6791,"D",1,1,"Q","M",1
6830,"H",0,0,"P","M",2
6839,"C",0,0,"Q","M",2
6875,"A",0,1,"L","M",3
6931,"C",0,0,"N","M",1
6954,"B",0,0,"O","M",3
7023,"C",0,0,"O","F",1
7053,"I",0,1,"N","M",2
7055,"G",0,0,"M","F",3
7127,"J",0,0,"L","F",3
7145,"G",0,0,"P","F",3
7208,"E",0,0,"L","F",2
7236,"F",0,0,"Q","F",1
7272,"D",0,1,"L","M",2
7308,"D",0,0,"O","F",3
7325,"D",1,0,"M","M",1
7361,"D",0,0,"M","M",2
7378,"B",0,0,"Q","M",3
7469,"I",1,1,"P","M",2
7522,"B",0,0,"L","F",3
7556,"A",0,0,"O","M",1
7583,"I",0,0,"Q","M",2
7609,"E",0,0,"O","F",2
7722,"E",0,0,"M","M",3
7728,"F",0,0,"O","M",3
7748,"E",0,0,"P","F",2
7793,"J",0,0,"L","M",2
7799,"D",0,1,"O","M",1
7877,"B",1,0,"N","M",2
8241,"E",0,0,"O","F",3
8265,"B",0,0,"M","F",1
8312,"G",0,1,"M","F",3
8351,"E",0,0,"P","M",1
8407,"D",0,0,"M","F",1
8456,"A",0,0,"P","F",3
8505,"D",0,0,"N","F",1
8522,"H",0,0,"L","M",2
8569,"D",1,0,"O","F",1
8600,"D",0,0,"N","F",2
8655,"E",0,1,"P","F",2
8678,"H",0,1,"Q","F",3
8694,"J",1,1,"P","F",1
8712,"H",0,1,"L","F",2
8832,"C",0,0,"O","M",3
8856,"G",0,1,"O","F",2
8885,"E",0,1,"N","F",3
8920,"G",1,0,"O","F",3
8958,"E",0,0,"N","F",2
9011,"B",0,0,"O","F",2
9103,"A",0,0,"Q","M",2
9172,"F",0,0,"O","M",3
9177,"B",0,1,"O","M",2
9195,"E",1,1,"M","M",2
9236,"I",0,1,"P","M",1
9353,"C",0,0,"L","M",3
9380,"B",0,0,"N","M",1
9388,"A",1,0,"O","M",3
9501,"H",0,0,"Q","M",1
9530,"F",0,0,"L","M",2
9559,"F",0,0,"Q","F",3
9576,"A",0,1,"L","M",2
9601,"D",0,1,"L","M",3
9619,"J",0,1,"P","F",2
9636,"G",0,0,"N","M",3
9734,"B",0,0,"N","M",1
9838,"E",0,1,"O","F",1
9893,"I",0,0,"N","M",1
9913,"H",1,1,"N","F",3
10048,"I",0,0,"N","F",2
10207,"E",0,0,"O","M",3
10219,"H",0,0,"M","M",3
10283,"D",0,0,"Q","F",2
10335,"A",0,0,"Q","M",2
10433,"B",1,1,"M","M",2
10456,"G",1,0,"P","F",3
10490,"J",0,0,"O","F",2
10677,"H",0,0,"Q","F",1
10679,"I",0,1,"N","F",3
10683,"J",0,0,"P","M",2
10719,"A",0,0,"L","F",3
10922,"D",0,0,"O","M",2
10941,"C",0,0,"Q","M",2
10958,"D",0,0,"N","M",1
11007,"F",0,0,"Q","F",1
11113,"H",0,1,"Q","M",3
11219,"H",0,1,"L","F",3
11254,"B",0,0,"O","M",2
